NP_055214.1	O95857
NP_055214.1	Q6FGK0
NP_036596.3	B7ZLW3
NP_036596.3	O43897
NP_000651.3	P01137
NP_004175.2	A0A024R6K8
NP_004175.2	P23381
NP_001272.2	Q99426
NP_001056.1	P19438
NP_002650.1	Q03405
NP_573571.1	Q8TF74
NP_062537.2	P17031
NP_062537.2	V9HW07
NP_115809.1	Q96JL9
NP_036553.2	Q13129
NP_002721.1	A0A024R7J0
NP_002721.1	P17612
NP_002722.1	B2RB89
NP_002722.1	P22694
NP_002723.2	P22612
NP_002736.3	P28482
NP_002736.3	Q1HBJ4
NP_002736.3	Q499G7
NP_004326.1	A0A024R7H5
NP_004326.1	Q10589
NP_061828.1	P0CG47
NP_061828.1	Q5U5U6
NP_066289.3	P0CG48
NP_006389.2	A0A1U9X8S6
NP_006389.2	O15205
NP_005722.1	O15144
NP_005722.1	Q53R19
NP_001737.1	P27824
NP_004337.2	P42574
NP_001286.1	P32246
NP_001286.1	Q5U003
NP_001116513.2	P41597
NP_005192.1	P51685
NP_001328.1	P49238
NP_002330.1	P33241
NP_000368.1	A0A024QYX8
NP_000368.1	P42768
NP_003351.2	Q16880
NP_000070.1	P02708
NP_000070.1	Q53SH4
NP_000738.2	P11230
NP_000598.2	P02763
NP_000599.1	P19652
NP_000479.1	A0A024R944
NP_000479.1	P01008
NP_005152.1	B2RDH3
NP_005152.1	B3KQN4
NP_005152.1	P35414
NP_001287.2	A0A024R2X7
NP_001287.2	O00590
NP_004164.2	O43246
NP_001828.1	A0A024R2Z3
NP_001828.1	P51677
NP_001828.1	Q8TDP5
NP_005499.1	A0N0Q1
NP_005499.1	P51679
NP_066978.1	B2R907
NP_066978.1	Q9NNX6
NP_057075.1	A0A024RAG6
NP_057075.1	P02745
NP_000482.3	A0A024RAB9
NP_000482.3	P02746
NP_758957.2	A0A024RAA7
NP_758957.2	P02747
NP_000055.2	B4DR57
NP_000055.2	P01024
NP_000055.2	V9HWA9
NP_001002029	P0C0L4
NP_001002029	P0C0L5
NP_001726.2	P01031
NP_001728.1	P02748
NP_001006659.1	P20023
NP_057268.1	Q9UMR7
NP_569708.1	Q8WTT0
NP_940894.1	Q08G24
NP_940894.1	Q6UXB4
NP_940894.1	Q6XYD1
NP_056532.4	Q9UJ71
NP_055072.3	Q9H2X3
NP_006030.2	Q9UBG0
NP_003458.1	P61073
NP_006555.1	A0N0N3
NP_006555.1	O00574
NP_004397.2	Q9UGM3
NP_997647.1	P02751
NP_997647.1	Q6MZM7
NP_997647.1	Q9UQS6
NP_001447.2	P21333
NP_001447.2	Q60FE5
NP_001447.2	Q6NXF2
NP_001448.2	O75369
NP_001449.3	Q14315
NP_001449.3	Q59H94
NP_002296.1	P09382
NP_000823.4	Q05586
NP_000824.1	Q12879
NP_000824.1	Q547U9
NP_000825.2	Q13224
NP_000826.2	O15398
NP_000826.2	Q14957
NP_000827.2	O15399
NP_000827.2	Q59G17
NP_597702.2	Q8TCU5
NP_619635.1	O60391
NP_619635.1	Q5F0I5
NP_000557.1	P12314
NP_001017986.1	Q92637
NP_000876.3	P13612
NP_000880.1	P26010
NP_002334.2	P02788
NP_002334.2	V9HWI4
NP_067674.2	P12318
NP_003992.3	P31994
NP_000560.6	M9MML0
NP_000560.6	P08637
NP_000561.3	O75015
NP_002429.1	P22897
NP_000233.1	P11226
NP_002435.1	P26038
NP_002435.1	V9HWC0
NP_002352.1	P20916
NP_002352.1	Q53ES7
NP_000739.1	P17787
NP_000739.1	Q5SXY3
NP_004075.1	P59665
NP_005208.1	P59666
NP_005208.1	Q6EZE9
NP_001916.1	P12838
NP_000792.1	P62942
NP_000792.1	Q0VDC6
NP_002610.1	P02776
NP_036416.1	Q9ULD8
NP_002612.1	A0A0S2Z4I5
NP_002612.1	P27918
NP_005561.1	A0A024R2A7
NP_005561.1	P49257
NP_000828.1	Q7Z429
NP_001087239.2	Q8IWL2
NP_003010.4	P35247
NP_000468.1	P02768
NP_055200.1	Q9Y286
NP_002988.3	P18827
NP_002989.2	A0A024R9D1
NP_002989.2	P34741
NP_055469.3	O75056
NP_002990.2	P31431
NP_000607.1	B4DT49
NP_000607.1	P01730
NP_002151.2	B4E1W8
NP_002151.2	P24821
NP_002151.2	Q4LE33
NP_003237.2	P07996
NP_612564.1	O00206
NP_001900.1	P07339
NP_001900.1	V9HWI3
NP_001903.1	A0A024R276
NP_001903.1	P07711
NP_001324.2	A0A024R141
NP_001324.2	O60911
NP_004070.3	P25774
NP_001926.2	P27487
NP_006840.2	Q13087
NP_005304.3	P30101
NP_005304.3	V9HVY3
NP_004902.1	A0A090N8Y2
NP_004902.1	P13667
NP_006801.1	Q14554
NP_005733.1	Q15084
NP_000909.2	A0A024R8S5
NP_000909.2	P07237
NP_000497.1	P00734
NP_003320.2	H9ZYJ2
NP_003320.2	P10599
NP_002760.1	P07477
NP_002761.1	P07478
NP_002761.1	Q5NV56
NP_002761.1	Q6PK75
NP_002649.1	A0A024QZM9
NP_002649.1	P00749
NP_002649.1	Q59GZ8
NP_002797.3	A0A087X2I1
NP_002797.3	P62333
NP_002799.3	Q13200
NP_002943.2	P15880
NP_000996.2	P23396
NP_000998.1	B2R491
NP_000998.1	P62701
NP_001001.2	A2A3R6
NP_001001.2	P62753
NP_001003.1	P62241
NP_001003.1	Q5JR94
NP_001004.2	A0A024R4M0
NP_001004.2	P46781
NP_002147.2	A0A024R3X4
NP_002147.2	P10809
NP_000993.1	A0A024RBS2
NP_000993.1	P05388
NP_006004.3	P27635
NP_006004.3	X5D2T3
NP_000968.2	A8K4C8
NP_000968.2	P26373
NP_003964.3	P50914
NP_000976.1	A0A024R261
NP_000976.1	P18621
NP_000970.1	A0A024QZD1
NP_000970.1	Q07020
NP_000972.1	P84098
NP_000977.1	P83731
NP_000977.1	V9HW01
NP_000983.1	P47914
NP_000958.1	P39023
NP_000959.2	P36578
NP_000960.2	A2RUM7
NP_000960.2	P46777
NP_000961.2	A0A024RBK3
NP_000961.2	Q02878
NP_000962.2	P18124
NP_000963.1	P62424
NP_000964.1	P62917
NP_000652.2	P32969
NP_000652.2	Q53Z07
NP_005338.1	P11021
NP_005338.1	V9HWB4
NP_001351.2	A0A024R5F7
NP_001351.2	Q9UBM7
NP_001092.1	P60709
NP_001092.1	Q1KLZ0
NP_005709.1	P59998
NP_001143.2	P05141
NP_001143.2	Q6NVC0
NP_001651.1	P18085
NP_001653.1	A4D0Z3
NP_001653.1	P84085
NP_001654.1	P62330
NP_001168.1	P40616
NP_001419.1	A0A024R4F1
NP_001419.1	P06733
NP_116116.1	Q16352
NP_004059.2	Q96CW1
NP_003929.4	O14617
NP_001275.1	Q92572
NP_004199.1	O95831
NP_001340.2	A0A140VJW5
NP_001340.2	P14868
NP_004037.1	P25705
NP_004037.1	V9HW26
NP_001688.1	P48047
