A0A078JHG5	PF04502	3708
G1XKF1	PF02453	756982
A0A136GSA2	PF01883	1795868
G8S0B4	PF01553	134676
X0K8N1	PF08538	1089451
A4IF98	PF08585	9913
L7LAK0	PF09369	1121927
A0A0M2RV67	PF01255	1538294
X2H165	PF01553	1196095
A0A0V0WLK0	PF04502	92179
A0A0D2JQ76	PF08354	1442371
A0A0Q9X1K7	PF03909	7230
A0A0Q5QWZ4	PF00034	1736350
W6RZH5	PF09369	1216932
I1P6L4	PF12842	4538
V4SR12	PF04068	85681
A0A0A1UFB4	PF03657	370355
A0A0P9A0U9	PF03909	7217
A0A0M3I326	PF00034	6252
A0A101QQ44	PF09369	68231
A0A0A0DE83	PF01883	176090
A0A074XFQ3	PF06862	1043004
W3X557	PF10296	1229662
K7J3X8	PF08490	7425
F4PUX3	PF06025,PF14377	1054147
A0A0D2GH53	PF03909	1442368
A0A067KL78	PF04502	180498
A0A096NYY4	PF08585	9555
D2H429	PF09324	9646
F9QDN5	PF01553	1034808
G8JUF0	PF13959	931890
U2FQ14	PF00034	1033802
B2B468	PF06916	515849
A0A0V0SAU3	PF02453	6336
A0A0P7X3B8	PF00034	1653334
A0A0F0I165	PF02020	1403190
A0A0Q9QTG4	PF01883	1736410
W5ADR7	PF01553	4565
A8LK16	PF01553	398580
R5W5J7	PF01255	1262777
A0A085F8H5	PF01883	1502852
A0A0R3PEP4	PF11894	334426
A0A086SWH3	PF07571	857340
G0PEY2	PF08490	135651
B0VIK3	PF01930	459349
A0A0P7Y9Y6	PF00034	1666914
H3CH13	PF06842	99883
E4RU47	PF00034	649349
A2BLR9	PF01255	415426
S0NM98	PF01883	1139996
C4JGP2	PF08354	336963
A0A0K0EIE9	PF12066	6248
A0A0V1L710	PF11935	6335
A0A168K7G2	PF10310	1081108
A0A0H4KUE4	PF00034	988812
A0A0C4EY84	PF06127	630390
G8TKE4	PF01553	700598
A0A132A466	PF08585	52283
M1WC82	PF08354	1111077
A0A074X1F4	PF08538	1043004
A0A091MYR2	PF01255	57397
I3JU19	PF02020	8128
A0A0C2B5G5	PF01255	1576605
U6MZ95	PF04502	51315
A0A067LDQ6	PF00034	180498
A0A0R3VTM4	PF02020	60517
A0A091EZH1	PF09736	85066
M5ANF9	PF01255	1313172
A0A0B2AWX6	PF00034	1348852
T0U4P4	PF01553	1316408
W4IRN8	PF01255	57270
E9DW90	PF10296	655827
Q9HM46	PF04068	273075
F4QQC8	PF01883	715226
A0A0L8GHC3	PF09324	37653
A0A0M0K5Z2	PF06862	1460289
A7TT53	PF01008	436907
K5X034	PF05254	597362
A1WJV6	PF01553	391735
E9FRN8	PF04950	6669
Q8R839	PF01553	273068
K6X2M3	PF01553	1127673
A0A0G0NF89	PF01008	1619013
Q7DD79	PF00034	122586
A0A0D9N699	PF05700	1392242
C5LPK7	PF06777	423536
V4U8P7	PF12842	85681
F1P8A4	PF04502	9615
A0A094HVS5	PF01553	1420915
A0A0R3PBN7	PF04502	334426
M0X1Q2	PF08490	112509
M0X1Q1	PF08490	112509
M0X1Q0	PF08490	112509
A5E424	PF05254	379508
B6AGZ6	PF01008	441375
B2IG45	PF01553	395963
A0A151PH89	PF05700	8496
A0A0A0K5Q0	PF06777	3659
R5DZ08	PF01553	1262950
G0W8A9	PF13959	1071378
A0A0G4M2Y1	PF10310	100787
F3NL67	PF01553	996637
A0A139AJ78	PF05254	1344416
W0DXA7	PF00034	717772
A0A151NYH2	PF14377	8496
F7BBD1	PF12842	7719
A0A078G7P4	PF08351	3708
A0A0D2VLX8	PF12157	29730
A0A093F2F3	PF01883	56313
A0A0E3UZW8	PF00034	400092
Z4WWN2	PF01255	887901
A0A0F7VHJ6	PF04950	104259
A0A0D3FY04	PF11779	65489
C7YRI1	PF06916	660122
A0A044T2C1	PF00034	6282
A4IDF5	PF13959	5671
E5APQ7	PF00034	882378
A0A0C3CE50	PF11894	686832
G1RDN6	PF01255	61853
I1I636	PF12842	15368
K2KHS2	PF01553	1207063
F0P075	PF00034	865938
A0A094I355	PF10296	1420915
A0A0V0SGK8	PF13959	6336
K7GIX0	PF00034	13735
A0A0R0BIG1	PF01553	266128
A2QEL1	PF02475	425011
A0A0E9LUH6	PF01930	1236989
Q9FCD9	PF01553	100226
A0A136HCR3	PF01553	1795872
S3DHR9	PF11935	1116229
A0A0P9EUL4	PF01883	471514
W7K0I5	PF06842	5843
A0A0V8JPN4	PF01553	1414648
A0KPS8	PF08351	380703
A0A0C1GD67	PF01553	1566023
A0A0D3DU02	PF01553	109376
U1KKX2	PF06127	1117314
F3SC44	PF00034	1004836
Q21HQ1	PF01553	203122
A0A0F5VRN7	PF01883	1415558
F4F1I5	PF01553	263358
G4LXE6	PF11935	6183
N1JD86	PF01553	546991
A0A183I5V8	PF14377	387005
A0A0C5J980	PF00034	1565605
U1Q2N5	PF01883	1227261
A0A0C2TW26	PF10296	946122
G6XF84	PF00034	1088869
A0A068YG88	PF03909	6211
Q9D517	PF01553	10090
A0A0B2V370	PF08585	6265
W0JZ85	PF02475	751944
S3YLJ2	PF00034	883165
I1HCL2	PF08585	15368
C5XKB6	PF15375	4558
A2QRS5	PF06777	425011
G8YSW7	PF12842	559304
Q9V968	PF01883	7227
B3RNN2	PF01553	10228
C6VW92	PF01553	471854
A6WWR1	PF00034	439375
G9NU24	PF04037	452589
A0A0D6WSW3	PF01883	1592330
H9ITT4	PF05620	7091
A0A0N8P073	PF01008	7217
C3ZNA0	PF01008	7739
